;Matches;Titles;Sets;Tiebreaks;Apm;BPFpm;RGWpm;BPpm;UEpm
Novak Djokovic;60;7;139;31;6,160;4,030;2,970;7,500;4,867
Carlos Alcaraz;77;6;152;19;4,020;5,000;3,370;8,330;5,065
Daniil Medvedev;84;5;150;17;6,320;4,950;3,290;7,330;7,345
Jannik Sinner;76;4;143;17;5,390;4,830;3,130;7,390;6,947
Andrey Rublev;81;2;139;19;7,330;4,950;2,850;7,270;5,889
Stefanos Tsitsipas;71;1;118;26;6,700;3,640;2,110;5,790;4,775
Alexander Zverev;80;2;124;18;7,200;4,710;2,560;7,070;6,438
Holger Rune;65;1;105;22;4,960;5,430;2,510;6,230;7,446
Hubert Hurkacz;68;2;116;32;15,060;4,110;2,020;6,060;7,735
Taylor Fritz;76;2;129;25;8,720;4,630;2,470;6,160;8,224
Casper Ruud;59;1;95;18;5,020;5,550;2,600;7,260;4,966
Alex de Minaur;66;1;98;12;3,250;5,700;3,060;6,960;7,136
Tommy Paul;65;0;103;16;6,020;6,140;2,750;7,360;7,400
Grigor Dimitrov;62;0;100;18;6,750;4,940;2,420;6,310;7,048
Karen Khachanov;52;1;83;12;5,620;4,240;2,320;5,810;5,346
Frances Tiafoe;58;2;92;19;6,720;4,440;2,160;5,860;5,741
Ben Shelton;49;1;73;18;9,090;6,290;1,790;4,470;6,367
Cameron Norrie;56;1;85;10;4,410;6,140;2,890;7,390;5,893
Nicolas Jarry;53;2;86;20;7,550;4,450;2,030;5,230;5,396
Ugo Humbert;51;0;71;12;5,980;6,050;2,650;7,000;8,725
Francisco Cerundolo;62;1;92;11;2,460;7,170;3,230;8,190;7,145
Adrian Mannarino;64;3;91;15;4,590;5,800;3,000;6,280;7,484
Tallon Griekspoor;55;2;80;17;8,470;4,720;2,000;5,280;7,418
Sebastian Korda;42;0;65;18;9,610;4,730;2,390;5,850;7,452
Jan-Lennard Struff;37;0;49;11;9,800;6,230;2,370;6,290;9,838
Alejandro Davidovich Fokina;56;0;79;14;2,640;6,690;2,720;6,150;8,036
Lorenzo Musetti;59;0;77;9;3,700;5,340;2,580;6,040;4,203
Sebastian Baez;56;3;72;7;2,100;6,250;2,980;7,040;4,089
Felix Auger-Aliassime;41;1;53;15;8,030;4,730;1,940;5,880;10,488
Tomas Martin Etcheverry;56;0;77;12;5,870;5,840;2,580;7,020;4,839
Jiri Lehecka;54;0;73;12;5,000;6,000;2,050;5,540;7,796
Alexander Bublik;48;2;57;11;10,150;5,440;1,850;4,440;9,125
Laslo Djere;58;0;79;16;5,290;6,220;2,310;6,020;6,259
Christopher Eubanks;41;1;60;21;9,700;5,500;1,400;4,400;8,073
Aslan Karatsev;41;0;56;14;5,880;5,590;1,970;5,250;6,707
Arthur Fils;34;1;44;8;5,860;5,910;2,000;5,360;5,353
Borna Coric;39;0;47;13;4,390;5,940;1,970;4,740;7,769
Daniel Evans;41;1;44;3;3,440;6,160;2,340;6,380;5,634
Roman Safiullin;39;0;55;8;4,740;5,840;2,160;5,000;8,359
Alexei Popyrin;44;1;60;16;9,080;5,700;2,140;6,270;6,500
Mackenzie McDonald;58;0;72;10;4,390;5,590;2,710;7,020;7,914
Andy Murray;32;0;43;12;4,300;6,780;2,260;7,300;9,625
Sebastian Ofner;26;0;33;8;5,800;8,100;2,600;6,600;1,654
Matteo Arnaldi;31;0;44;10;5,430;8,260;2,520;6,520;6,968
Max Purcell;29;1;30;3;8,250;7,290;2,250;5,790;6,931
Lorenzo Sonego;55;0;68;10;5,300;5,720;1,840;4,950;6,527
Yoshihito Nishioka;41;0;52;8;2,100;6,730;2,300;5,630;6,707
Alexander Shevchenko;33;0;42;8;4,280;6,620;2,590;6,170;6,667
Stan Wawrinka;46;0;64;11;7,190;4,860;2,160;5,380;6,217
Botic van de Zandschulp;44;0;51;9;5,440;8,030;2,860;7,500;9,818
