DATE,MRTSSM45111USN
1992-01-01,972
1992-02-01,1100
1992-03-01,1214
1992-04-01,1267
1992-05-01,1293
1992-06-01,1334
1992-07-01,1340
1992-08-01,1377
1992-09-01,1206
1992-10-01,1120
1992-11-01,1207
1992-12-01,2153
1993-01-01,1032
1993-02-01,984
1993-03-01,1213
1993-04-01,1367
1993-05-01,1387
1993-06-01,1457
1993-07-01,1457
1993-08-01,1531
1993-09-01,1313
1993-10-01,1199
1993-11-01,1377
1993-12-01,2474
1994-01-01,1168
1994-02-01,1193
1994-03-01,1488
1994-04-01,1551
1994-05-01,1551
1994-06-01,1677
1994-07-01,1584
1994-08-01,1737
1994-09-01,1470
1994-10-01,1324
1994-11-01,1471
1994-12-01,2611
1995-01-01,1224
1995-02-01,1248
1995-03-01,1599
1995-04-01,1606
1995-05-01,1645
1995-06-01,1750
1995-07-01,1705
1995-08-01,1846
1995-09-01,1569
1995-10-01,1398
1995-11-01,1548
1995-12-01,2731
1996-01-01,1327
1996-02-01,1309
1996-03-01,1649
1996-04-01,1702
1996-05-01,1773
1996-06-01,1895
1996-07-01,1833
1996-08-01,1992
1996-09-01,1594
1996-10-01,1453
1996-11-01,1608
1996-12-01,2675
1997-01-01,1337
1997-02-01,1331
1997-03-01,1609
1997-04-01,1726
1997-05-01,1788
1997-06-01,1970
1997-07-01,1838
1997-08-01,1955
1997-09-01,1595
1997-10-01,1521
1997-11-01,1651
1997-12-01,2846
1998-01-01,1381
1998-02-01,1407
1998-03-01,1754
1998-04-01,1820
1998-05-01,1938
1998-06-01,2120
1998-07-01,1975
1998-08-01,2038
1998-09-01,1701
1998-10-01,1607
1998-11-01,1685
1998-12-01,2858
1999-01-01,1485
1999-02-01,1469
1999-03-01,1827
1999-04-01,1888
1999-05-01,1993
1999-06-01,2215
1999-07-01,2062
1999-08-01,2143
1999-09-01,1847
1999-10-01,1711
1999-11-01,1832
1999-12-01,3227
2000-01-01,1591
2000-02-01,1681
2000-03-01,2065
2000-04-01,1991
2000-05-01,2187
2000-06-01,2319
2000-07-01,2237
2000-08-01,2257
2000-09-01,2007
2000-10-01,1725
2000-11-01,1939
2000-12-01,3309
2001-01-01,1739
2001-02-01,1704
2001-03-01,2111
2001-04-01,2071
2001-05-01,2185
2001-06-01,2352
2001-07-01,2199
2001-08-01,2382
2001-09-01,1984
2001-10-01,1882
2001-11-01,2151
2001-12-01,3398
2002-01-01,1739
2002-02-01,1763
2002-03-01,2167
2002-04-01,2157
2002-05-01,2141
2002-06-01,2276
2002-07-01,2177
2002-08-01,2384
2002-09-01,1998
2002-10-01,1897
2002-11-01,2133
2002-12-01,3387
2003-01-01,1761
2003-02-01,1747
2003-03-01,2121
2003-04-01,2135
2003-05-01,2182
2003-06-01,2325
2003-07-01,2293
2003-08-01,2548
2003-09-01,2075
2003-10-01,1970
2003-11-01,2200
2003-12-01,3643
2004-01-01,1901
2004-02-01,1888
2004-03-01,2287
2004-04-01,2221
2004-05-01,2305
2004-06-01,2514
2004-07-01,2530
2004-08-01,2621
2004-09-01,2216
2004-10-01,2103
2004-11-01,2306
2004-12-01,3748
2005-01-01,1956
2005-02-01,1976
2005-03-01,2408
2005-04-01,2539
2005-05-01,2493
2005-06-01,2655
2005-07-01,2652
2005-08-01,2788
2005-09-01,2338
2005-10-01,2246
2005-11-01,2492
2005-12-01,4170
2006-01-01,2100
2006-02-01,2154
2006-03-01,2792
2006-04-01,2713
2006-05-01,2776
2006-06-01,3012
2006-07-01,2872
2006-08-01,3085
2006-09-01,2752
2006-10-01,2447
2006-11-01,2710
2006-12-01,4456
2007-01-01,2200
2007-02-01,2171
2007-03-01,2969
2007-04-01,2737
2007-05-01,3087
2007-06-01,3380
2007-07-01,3165
2007-08-01,3378
2007-09-01,2712
2007-10-01,2570
2007-11-01,2939
2007-12-01,4496
2008-01-01,2315
2008-02-01,2415
2008-03-01,2995
2008-04-01,2984
2008-05-01,3276
2008-06-01,3408
2008-07-01,3308
2008-08-01,3543
2008-09-01,2725
2008-10-01,2482
2008-11-01,2796
2008-12-01,4530
2009-01-01,2442
2009-02-01,2347
2009-03-01,2894
2009-04-01,2959
2009-05-01,3119
2009-06-01,3290
2009-07-01,3209
2009-08-01,3418
2009-09-01,2779
2009-10-01,2571
2009-11-01,2788
2009-12-01,4758
2010-01-01,2373
2010-02-01,2303
2010-03-01,3118
2010-04-01,3001
2010-05-01,3078
2010-06-01,3413
2010-07-01,3266
2010-08-01,3415
2010-09-01,2828
2010-10-01,2611
2010-11-01,3107
2010-12-01,4894
2011-01-01,2414
2011-02-01,2456
2011-03-01,3266
2011-04-01,3246
2011-05-01,3169
2011-06-01,3505
2011-07-01,3334
2011-08-01,3623
2011-09-01,3011
2011-10-01,2746
2011-11-01,3227
2011-12-01,4998
2012-01-01,2505
2012-02-01,2723
2012-03-01,3607
2012-04-01,3304
2012-05-01,3455
2012-06-01,3829
2012-07-01,3551
2012-08-01,3969
2012-09-01,3161
2012-10-01,2959
2012-11-01,3478
2012-12-01,5601
2013-01-01,3071.0
2013-02-01,3016
2013-03-01,3831.0
2013-04-01,3428.0
2013-05-01,3657
2013-06-01,3954
2013-07-01,3819.0
2013-08-01,4161.0
2013-09-01,3230
2013-10-01,3162.0
2013-11-01,3750.0
2013-12-01,5518.0
2014-01-01,2722
2014-02-01,2803.0
2014-03-01,3553.0
2014-04-01,3520.0
2014-05-01,3681.0
2014-06-01,3934.0
2014-07-01,3842.0
2014-08-01,4386.0
2014-09-01,3519.0
2014-10-01,3435.0
2014-11-01,3902.0
2014-12-01,5840.0
2015-01-01,2874.0
2015-02-01,2867.0
2015-03-01,3739.0
2015-04-01,3621.0
2015-05-01,3882.0
2015-06-01,4156.0
2015-07-01,4161.0
2015-08-01,4392.0
2015-09-01,3702.0
2015-10-01,3472.0
2015-11-01,3883.0
2015-12-01,6219.0
2016-01-01,3106
2016-02-01,3237
2016-03-01,4077.0
2016-04-01,3794
2016-05-01,3942
2016-06-01,4634.0
2016-07-01,4318
2016-08-01,4307
2016-09-01,3591
2016-10-01,3401.0
2016-11-01,3878.0
2016-12-01,5849.0
2017-01-01,2966.0
2017-02-01,3041.0
2017-03-01,3795.0
2017-04-01,3657.0
2017-05-01,3813.0
2017-06-01,4117.0
2017-07-01,3921.0
2017-08-01,4226.0
2017-09-01,3566.0
2017-10-01,3390.0
2017-11-01,3978.0
2017-12-01,5495.0
2018-01-01,2774.0
2018-02-01,3023.0
2018-03-01,3782.0
2018-04-01,3564.0
2018-05-01,3809.0
2018-06-01,4095.0
2018-07-01,3845.0
2018-08-01,4048.0
2018-09-01,3124.0
2018-10-01,3189.0
2018-11-01,3672.0
2018-12-01,4988.0
2019-01-01,2730.0
2019-02-01,2826.0
2019-03-01,3636.0
2019-04-01,3615.0
2019-05-01,3762.0
2019-06-01,4096.0
2019-07-01,4073.0
2019-08-01,4302.0
2019-09-01,3346.0
2019-10-01,3463.0
2019-11-01,3758.0
2019-12-01,5236.0
2020-01-01,2923.0
2020-02-01,3029.0
2020-03-01,3365.0
2020-04-01,2526.0
2020-05-01,4249.0
2020-06-01,5696.0
2020-07-01,5284.0
2020-08-01,4948.0
2020-09-01,4611.0
2020-10-01,4491.0
2020-11-01,4543.0
2020-12-01,6617.0
2021-01-01,4144.0
2021-02-01,3662.0
2021-03-01,5830.0
2021-04-01,5558.0
2021-05-01,5430.0
2021-06-01,5881.0
2021-07-01,5468.0
2021-08-01,5657.0
2021-09-01,4733.0
2021-10-01,4762.0
2021-11-01,5509.0
2021-12-01,7310.0
2022-01-01,3956.0
2022-02-01,4079.0
2022-03-01,5349.0
2022-04-01,5152.0
2022-05-01,5182.0
2022-06-01,5843.0
2022-07-01,5558.0
2022-08-01,5781.0
2022-09-01,4867.0
2022-10-01,4874.0
2022-11-01,5347.0
2022-12-01,7416.0
2023-01-01,3991.0
2023-02-01,3998.0
2023-03-01,5161.0
2023-04-01,5145.0
2023-05-01,5322.0
2023-06-01,5675.0
2023-07-01,5611.0
2023-08-01,5835.0
2023-09-01,4879.0
2023-10-01,4781.0
2023-11-01,5274.0
2023-12-01,7008.0
2024-01-01,4061.0
2024-02-01,4126.0
2024-03-01,4991.0
2024-04-01,4573.0
2024-05-01,5128.0
2024-06-01,5399.0
2024-07-01,5210.0
2024-08-01,5539.0
2024-09-01,4561.0
